flight_id,airline_code,airline_name,flight_number,tail_number,flight_date,scheduled_departure_time,actual_departure_time,scheduled_arrival_time,actual_arrival_time,origin_airport_code,origin_airport_name,origin_city,origin_state,destination_airport_code,destination_airport_name,destination_city,destination_state,departure_delay_minutes,arrival_delay_minutes,flight_duration_minutes,distance_miles,taxi_out_minutes,taxi_in_minutes,air_time_minutes,carrier_delay_minutes,weather_delay_minutes,nas_delay_minutes,security_delay_minutes,late_aircraft_delay_minutes,cancelled,cancellation_code,diverted,passengers_count,baggage_count,cargo_weight_lbs,flight_status
FL20240115001,AA,American Airlines,1234,N12345,2024-01-15,08:30,08:45,12:00,12:15,JFK,John F. Kennedy International Airport,New York,NY,LAX,Los Angeles International Airport,Los Angeles,CA,15,15,330,2475,12,8,310,0,0,0,0,15,false,,false,145,178,2500,COMPLETED
FL20240115002,DL,Delta Air Lines,5678,N67890,2024-01-15,09:00,09:00,11:30,11:25,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,MIA,Miami International Airport,Miami,FL,0,-5,150,594,10,6,134,0,0,0,0,0,false,,false,168,201,1800,COMPLETED
FL20240115003,UA,United Airlines,9012,N11111,2024-01-15,10:15,10:45,15:30,16:00,ORD,O'Hare International Airport,Chicago,IL,SFO,San Francisco International Airport,San Francisco,CA,30,30,285,1846,15,10,260,10,0,20,0,0,false,,false,152,189,2200,COMPLETED
FL20240115004,WN,Southwest Airlines,3456,N22222,2024-01-15,11:00,11:05,13:45,13:50,DFW,Dallas/Fort Worth International Airport,Dallas,TX,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,5,5,165,868,8,7,150,0,0,5,0,0,false,,false,143,156,1500,COMPLETED
FL20240115005,AA,American Airlines,7890,N33333,2024-01-15,12:30,13:15,16:00,16:45,BOS,Boston Logan International Airport,Boston,MA,SEA,Seattle-Tacoma International Airport,Seattle,WA,45,45,360,2496,18,12,330,0,0,0,0,45,false,,false,128,145,1900,COMPLETED
FL20240115006,DL,Delta Air Lines,2345,N44444,2024-01-15,14:00,14:00,17:30,17:20,MSP,Minneapolis-St Paul International Airport,Minneapolis,MN,LAX,Los Angeles International Airport,Los Angeles,CA,0,-10,270,1535,11,8,251,0,0,0,0,0,false,,false,175,198,2100,COMPLETED
FL20240115007,UA,United Airlines,6789,N55555,2024-01-15,15:30,16:00,18:00,18:30,EWR,Newark Liberty International Airport,Newark,NJ,DEN,Denver International Airport,Denver,CO,30,30,240,1605,14,9,217,0,15,15,0,0,false,,false,141,163,1700,COMPLETED
FL20240115008,WN,Southwest Airlines,1357,N66666,2024-01-15,16:45,16:45,19:15,19:10,LAS,McCarran International Airport,Las Vegas,NV,SAN,San Diego International Airport,San Diego,CA,0,-5,90,258,6,5,79,0,0,0,0,0,false,,false,134,142,1200,COMPLETED
FL20240115009,AA,American Airlines,2468,N77777,2024-01-15,18:00,19:30,21:30,23:00,IAH,George Bush Intercontinental Airport,Houston,TX,JFK,John F. Kennedy International Airport,New York,NY,90,90,210,1417,20,15,175,30,45,15,0,0,false,,false,156,178,2300,COMPLETED
FL20240115010,DL,Delta Air Lines,3579,N88888,2024-01-15,19:30,,22:00,,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,LAX,Los Angeles International Airport,Los Angeles,CA,,,,1946,,,,,,,,,true,B,false,0,0,0,CANCELLED
FL20240115011,UA,United Airlines,4680,N99999,2024-01-15,20:00,20:10,23:30,23:45,SFO,San Francisco International Airport,San Francisco,CA,ORD,O'Hare International Airport,Chicago,IL,10,15,240,1846,12,9,219,0,0,10,0,0,false,,false,149,167,2000,COMPLETED
FL20240115012,WN,Southwest Airlines,5791,N10101,2024-01-15,21:15,21:20,00:45,00:50,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,DEN,Denver International Airport,Denver,CO,5,5,150,602,8,7,135,0,0,5,0,0,false,,false,138,151,1400,COMPLETED
FL20240115013,AA,American Airlines,6802,N11011,2024-01-15,06:30,06:30,09:00,08:55,MIA,Miami International Airport,Miami,FL,ORD,O'Hare International Airport,Chicago,IL,0,-5,210,1197,10,8,192,0,0,0,0,0,false,,false,162,185,2400,COMPLETED
FL20240115014,DL,Delta Air Lines,7913,N12121,2024-01-15,07:45,08:00,10:15,10:30,DTW,Detroit Metropolitan Airport,Detroit,MI,BOS,Boston Logan International Airport,Boston,MA,15,15,120,632,9,7,104,0,0,15,0,0,false,,false,118,128,1300,COMPLETED
FL20240115015,UA,United Airlines,8024,N13131,2024-01-15,13:00,13:00,16:30,16:25,IAD,Washington Dulles International Airport,Washington,DC,LAX,Los Angeles International Airport,Los Angeles,CA,0,-5,330,2288,13,10,307,0,0,0,0,0,false,,false,171,194,2600,COMPLETED
